Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price
Toshiba,Portege Z30-C-16P,Ultrabook,"13.3""",Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Intel HD Graphics 520,Windows,10,1.2kg,155343.24
Dell,Latitude 7480,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,512GB SSD,Intel HD Graphics,Windows,10,1.36kg,149385.6
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,2.2kg,36368.28
Lenovo,Lenovo IdeaPad,Notebook,"11.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.15kg,27071.694
Lenovo,ThinkPad P51,Workstation,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,Nvidia Quadro M1200,Windows,10,2.67kg,171171
Lenovo,Thinkpad T470p,Ultrabook,"14.0""",IPS Panel Full HD 2560x1440,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,Nvidia GeForce GT 940MX,Windows,10,1.7kg,172771.56
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon 520,Windows,10,2.1kg,41703.48
Acer,Aspire R7,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.6kg,70158.7692
Asus,ZenBook Flip,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.27kg,82517.76
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMD Radeon R5 M430,Linux,,2.3kg,53254.188
Dell,Latitude 3380,Notebook,"13.3""",1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.65kg,61265.88
HP,EliteBook 1040,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.43kg,133380
Dell,Inspiron 3567,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.14kg,48012.354
Lenovo,ThinkPad E480,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon RX 550,Windows,10,1.75kg,108071.5896
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,"15.6""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows,10,2kg,168859.08
Chuwi,LapBook 12.3,Notebook,"12.3""",IPS Panel Retina Display 2736x1824,Intel Celeron Quad Core N3450 1.1GHz,6GB,64GB Flash Storage,Intel HD Graphics 500,Windows,10,1.4kg,39925.08
HP,ProBook 650,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8GB,256GB SSD,Intel HD Graphics 630,Windows,10,2.31kg,126888.84
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,,2.3kg,53085.24
Dell,Alienware 17,Gaming,"17.3""",IPS Panel 2560x1440,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.42kg,248887.08
Dell,Inspiron 7577,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.62kg,103058.28
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.02kg,101582.208
Dell,Latitude 5480,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Linux,,1.6kg,97723.08
HP,Omen 17-w207nv,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,3.35kg,177751.08
Mediacom,FlexBook Edge,2 in 1 Convertible,"11.6""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB SSD,Intel HD Graphics 500,Windows,10,1.16kg,26587.08
Samsung,Chromebook 3,Netbook,"11.6""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,,1.15kg,23919.48
Lenovo,Thinkpad 13,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.4kg,89809.2
Lenovo,IdeaPad 320s-14IKB,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.7kg,53263.08
Lenovo,Thinkpad T570,Workstation,"15.6""",IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,16GB,512GB SSD,Nvidia GeForce 940MX,Windows,10,2.3kg,217409.4
Lenovo,Thinkpad P51,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16GB,512GB SSD,Nvidia Quadro M2200M,Windows,10,2.5kg,217765.08
Asus,Rog Strix,Gaming,"17.3""",Full HD 1920x1080,AMD Ryzen 1600 3.2GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.2kg,150719.4
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Intel HD Graphics 400,Windows,10,2.1kg,30855.24
Google,Pixelbook (Core,Ultrabook,"12.3""",Touchscreen 2400x1600,Intel Core i7 7Y75 1.3GHz,16GB,512GB SSD,Intel HD Graphics 615,Chrome OS,,1.1kg,195535.08
Lenovo,ThinkPad T470s,Ultrabook,"14.0""",2560x1440,Intel Core i7 7500U 2.7GHz,24GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.32kg,211807.44
Asus,VivoBook Max,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Linux,,2kg,49706.28
Lenovo,IdeaPad 320-15AST,Notebook,"17.3""",1600x900,AMD A6-Series 9220 2.5GHz,8GB,1TB HDD,AMD Radeon R4,Windows,10,2.8kg,46149.48
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,66601.08
Lenovo,ThinkPad X270,Ultrabook,"12.5""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.36kg,127066.68
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",Full HD 1920x1080,Intel Pentium Quad Core N4200 1.1GHz,4GB,128GB SSD,Intel HD Graphics 505,Windows,10,2.2kg,31033.08
HP,Omen 15-AX205na,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,97723.08
Dell,Latitude 5480,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Windows,10,1.64kg,104836.68
Acer,Aspire ES1-572,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Linux,,2.4kg,39284.856
Dell,Precision 3520,Workstation,"15.6""",Full HD 1920x1080,Intel Xeon E3-1505M V6 3GHz,8GB,64GB Flash Storage +  1TB HDD,Nvidia Quadro M620,Windows,10,2.23kg,177217.56
MSI,GV62 7RD-1686NL,Gaming,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,91386.6408
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,16GB,512GB SSD,Intel Iris Plus Graphics 640,Windows,10 S,1.25kg,230213.88
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.91kg,52373.88
Dell,Precision 3520,Workstation,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,16GB,256GB SSD,Nvidia Quadro M620,Windows,10,2.17kg,175617
HP,ProBook 650,Workstation,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,2.31kg,136403.28
Lenovo,ThinkPad T470,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.65kg,119597.4
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.36kg,87052.68
Dell,Inspiron 3168,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,500GB HDD,Intel HD Graphics 405,Windows,10,1.47kg,42592.68
Dell,Alienware 17,Notebook,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.7GHz,8GB,1TB HDD,Nvidia GeForce GTX 1060,Windows,10,4.42kg,181930.32
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,Intel Core M m3-7Y30 2.2GHz,4GB,128GB SSD,Intel HD Graphics 615,Windows,10 S,1.252kg,87941.88
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows,10 S,1.25kg,159967.08
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Notebook,"17.3""",1600x900,Intel Core i3 6006U 2GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,2.5kg,56899.908
Acer,Aspire E5-576G,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Nvidia GeForce 940MX,Windows,10,2.23kg,48372.48
Acer,TravelMate B,Netbook,"11.6""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB SSD,Intel HD Graphics 400,Windows,10,1.4kg,38680.2
Asus,Pro P2540UA-AB51,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.37kg,66601.08
Lenovo,IdeaPad 510s-14IKB,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,AMD Radeon R7 M460,No OS,,1.5kg,71047.08
Lenovo,Thinkpad P51,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8GB,256GB SSD,Nvidia Quadro M2200M,Windows,10,2.67kg,185842.8
Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Notebook,"15.6""",1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,500GB HDD,Intel HD Graphics 500,Windows,10,2kg,27031.68
Acer,Aspire 5,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Nvidia GeForce GTX 940MX,Windows,10,2.2kg,41703.48
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,2TB HDD,AMD Radeon 530,Windows,10,2.02kg,67490.28
HP,Omen 17-an006nv,Gaming,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Nvidia GeForce GTX 1060,Windows,10,3.78kg,151075.08
Lenovo,Thinkpad T460s,Ultrabook,"14.0""",IPS Panel Quad HD+ 2560x1440,Intel Core i7 6600U 2.6GHz,12GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.4kg,165213.36
HP,Spectre x360,2 in 1 Convertible,"13.3""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.29kg,177751.08
HP,ZBook 15u,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,500GB HDD,AMD FirePro W4190M ,Windows,10,1.9kg,102613.68
Google,Pixelbook (Core,Ultrabook,"12.3""",Touchscreen 2400x1600,Intel Core i5 7Y57 1.2GHz,8GB,128GB SSD,Intel HD Graphics 615,Chrome OS,,1.1kg,113373
Dell,Latitude 7390,Ultrabook,"13.3""",Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.42kg,163777.302
Asus,ZenBook Pro,Notebook,"15.6""",IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 6700HQ 2.6GHz,12GB,128GB SSD +  1TB HDD,Intel HD Graphics 530,Windows,10,2.06kg,115507.08
Dell,Latitude E5470,Notebook,"14.0""",1366x768,Intel Core i3 6100U 2.3GHz,8GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.79kg,65800.8
Dell,Precision M5520,Workstation,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M1200,Windows,10,1.78kg,214119.36
Lenovo,Thinkpad T470,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1GB SSD,Intel HD Graphics 620,Windows,10,1.7kg,121286.88
Dell,Inspiron 3576,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,AMD Radeon 520,Windows,10,2.2kg,60021
Toshiba,Portege X30-D-10J,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.05kg,148674.24
Dell,Inspiron 7570,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Nvidia GeForce 940MX,Windows,10,2.16kg,112217.04
Dell,Vostro 3568,Notebook,"15.6""",1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.18kg,52160.472
HP,ProBook 430,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,128GB SSD,Intel UHD Graphics 620,Windows,10,1.49kg,64555.92
Chuwi,"Lapbook 15,6",Notebook,"15.6""",Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics,Windows,10,1.89kg,22132.188
Lenovo,ThinkPad E570,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,2.3kg,50239.8
Lenovo,ThinkPad E480,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.75kg,93277.08
Dell,Precision 3520,Workstation,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,16GB,512GB SSD,Nvidia Quadro M620,Windows,10,2.17kg,207894.96
Dell,XPS 15,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.06kg,168859.08
Lenovo,Thinkpad X270,Ultrabook,"12.5""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.36kg,159878.16
Asus,Zenbook UX390UA,Ultrabook,"12.5""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,0.91kg,173394
Lenovo,Thinkpad E570,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,2.3kg,89986.1508
Toshiba,Portege X30-D-10L,Ultrabook,"13.3""",Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,32GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.05kg,248887.08
Asus,VivoBook Pro,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,1.99kg,120042
Acer,Aspire 5,Notebook,"15.6""",1366x768,AMD A10-Series 9620P 2.5GHz,8GB,1TB HDD,AMD Radeon RX 540,Windows,10,2.2kg,51484.68
Asus,Rog G752VL-UH71T,Gaming,"17.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6700HQ 2.6GHz,24GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 965M,Windows,10,4.33kg,112839.48
Lenovo,Thinkpad X260,Ultrabook,"12.5""",IPS Panel 1366x768,Intel Core i5 6200U 2.3GHz,8GB,1GB SSD,Intel HD Graphics 520,Windows,10,1.3kg,97723.08
Lenovo,Ideapad 520-15IKBR,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,2.17kg,79930.188
HP,EliteBook 840,Notebook,"14.0""",Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,1TB SSD,Intel HD Graphics 620,Windows,10,1.48kg,155521.08
Lenovo,ThinkPad 13,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.4kg,84385.08
Lenovo,ThinkPad L570,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.3kg,81006.12
Asus,VivoBook E201NA,Netbook,"11.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows,10 S,1.2kg,30232.8
HP,15-BS026nv (i5-7200U/8GB/256GB/Radeon,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,AMD Radeon 520,Windows,10,1.91kg,55040.5908
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,"13.9""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.4kg,142183.08
Lenovo,IdeaPad 320-14IAP,Notebook,"14.0""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,500GB HDD,Intel HD Graphics 500,Windows,10,2.1kg,26587.08
Lenovo,Chromebook N23,Netbook,"11.6""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,16GB SSD,Intel HD Graphics 400,Chrome OS,,1.25kg,23563.8
Lenovo,ThinkPad 13,Notebook,"13.3""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.44kg,84385.08
Asus,ZenBook UX510UX-CN211T,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows,10,2kg,108838.08
Acer,Aspire A515-51G-59QF,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,1TB HDD,Nvidia GeForce MX150,Windows,10,2.2kg,54507.96
HP,Envy 13-AB002nv,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.34kg,117641.16
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS,,2.4kg,102169.08
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.29kg,79939.08
Acer,Aspire A515-51G,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,500GB HDD,Nvidia GeForce 940MX,Windows,10,2.2kg,56819.88
Dell,Vostro 5568,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.18kg,74337.12
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.2kg,108414.8208
Xiaomi,Mi Notebook,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD,Nvidia GeForce MX150,No OS,,1.95kg,124483.554
Asus,VivoBook E12,Netbook,"11.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.1kg,21785.4
HP,15-bs190od (i5-8250U/4GB/1TB/W10),Notebook,"15.6""",Touchscreen 1366x768,Intel Core i5 8250U 1.6GHz,4GB,1TB HDD,Intel UHD Graphics 620,Windows,10,2.04kg,46369.1124
Asus,ROG Zephyrus,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,24GB,512GB SSD,Nvidia GeForce GTX1080,Windows,10,2.24kg,263914.56
HP,Probook 450,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Windows,10,2.04kg,79049.88
Asus,FX753VE-GC155T (i7-7700HQ/16GB/1TB,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX1050 Ti,Windows,10,3kg,133735.68
Lenovo,Legion Y720-15IKB,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,3.2kg,124399.08
HP,Spectre X360,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.32kg,124399.08
Dell,Latitude 5480,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.64kg,113793.5916
HP,ProBook 440,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.63kg,61265.88
Dell,Inspiron 5770,Notebook,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,,2.8kg,79049.88
Lenovo,ThinkPad L470,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows,7,2.02kg,119152.8
Lenovo,IdeaPad 320-15IKB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.2kg,71047.08
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,8GB,2TB HDD,Nvidia GeForce 920MX ,No OS,,2.2kg,40814.28
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,AMD Radeon R5 M430,Windows,10,2.3kg,52018.2
Dell,Latitude 5580,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.9kg,122442.84
Dell,Alienware 17,Gaming,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.42kg,267895.5084
Toshiba,Satellite Pro,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.0kg,76471.2
Asus,Zenbook UX510UW-FI095T,Notebook,"15.6""",IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows,10,2kg,115507.08
Mediacom,SmartBook Edge,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,4GB,32GB SSD,Intel HD Graphics 500,Windows,10,1.2kg,32811.48
Asus,ROG Strix,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.3kg,146629.08
Dell,Latitude 5580,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Windows,10,1.93kg,121731.48
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,70905.6972
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Pentium Quad Core N3710 1.6GHz,4GB,256GB SSD,Intel HD Graphics 405,Windows,10,1.86kg,35478.1908
HP,Omen 15-ce006nv,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.62kg,159967.08
Lenovo,Thinkpad E470,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.87kg,76382.28
Dell,XPS 13,Ultrabook,"13.3""",Quad HD+ / Touchscreen 3200x1800,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.2kg,124399.08
Dell,Vostro 5468,Notebook,"14.0""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.6kg,65433.5604
HP,Envy 13-AB020nr,Ultrabook,"13.3""",IPS Panel Quad HD+ 3200x1800,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.34kg,101813.4
